id,value,name,L1,L2,L3,L4
1,I - The Archmage,Mastery,k,J,D,C
2,II - The High Priestess,Wisdom,J,R,I,A
3,III - The Empress,Vitality,I,s,M,l
4,IV - The Emperor,Vigor,a,s,L,X
5,V - The High Priest,Faith,C,P,U,E
6,VI - The Lovers,Union,Q,b,d,c
7,VII - The Chariot,Conquest,a,n,w,e
8,VIII - Strength,Control,v,u,Z,w
9,IX - The Hermit,Contemplation,K,E,i,u
10,X - The Wheel,Fortune,m,P,T,b
11,XI - Justice,Balance,d,u,W,J
12,XII - The Hanged Man,Sacrifice,r,B,L,f
13,XIII - Death,Transformation,Y,H,D,Q
14,XIV - Temperance,Virtue,v,f,X,l
15,XV - The Devil,TemptationV,F,j,e
16,XVI - The Tower,Disaster,w,t,v,M
17,XVII - The Star,Hope,r,Y,G,z
18,XVIII - The Moon,Secrecy,n,c,p,h
19,XIX - The Sun,Revelation,p,V,X,O
20,XX - Judgement,Rebirth,a,e,T,N
21,XXI - The World,Completion,r,d,g,O
22,0 - The Fools,Initiative,m,M,R,H
23,Ace of Thieves,Earth - Activity,W,B,o,l
24,Two of Thieves,Change,T,W,D,g
25,Three of Thieves,Labor,U,N,x,I
26,Four of Thieves,Power,C,q,f,p
27,Five of Thieves,Worry,F,i,O,x
28,Six of Thieves,Profit,Z,h,j,y
29,Seven of Thieves,Failure,c,t,j,S
30,Eight of Thieves,Artistry,S,h,o,F
31,Nine of Thieves,Gain,J,q,b,z
32,Ten of Thieves,Wealth,G,n,K,U
33,Page of Thieves,Frugality,x,g,a,t
34,Knight of Thieves,Caution,Q,K,A,y
35,Queen of Thieves,Intuition,m,s,G,V
36,King of Thieves,Practicality,H,q,o,L
37,Ace of Warriors,Fire - Motivation,i,P,E,B
38,Two of Warriors,Peace,Y,R,k,Z
39,Three of Warriors,Sorrow,N,y,k,S
40,Four of Warriors,Truce,A,m,x,o
41,Five of Warriors,Defeat,h,y,d,s
42,Six of Warriors,Resolve,M,x,i,H
43,Seven of Warriors,Futility,V,M,g,q
44,Eight of Warriors,Interference,I,o,b,s
45,Nine of Warriors,Hardship,n,H,V,L
46,Ten of Warriors,Ruin,p,g,A,v
47,Page of Warriors,Cruelty,v,N,p,w
48,Knight of Warriors,Strategy,H,c,J,Y
49,Queen of Warriors,Decisiveness,Z,u,W,P
50,King of Warriors,Passion,h,B,x,a
51,Ace of Priests,Water - Renewal,c,L,P,W
52,Two of Priests,Love,U,E,p,Y
53,Three of Priests,Abundance,j,F,D,e
54,Four of Priests,Apathy,I,Z,K,U
55,Five of Priests,Disappointment,K,X,Y,z
56,Six of Priests,Innocence,w,l,q,R
57,Seven of Priests,Delusion,j,b,X,y
58,Eight of Priests,Abandon,L,j,f,V
59,Nine of Priests,Luxury,R,F,t,C
60,Ten of Priests,Contentment,k,T,S,d
61,Page of Priests,Companionship,F,v,D,S
62,Knight of Priests,Subtlety,f,J,t,i
63,Queen of Priests,Detachment,n,w,O,T
64,King of Priests,Gratitude,o,e,l,a
65,Ace of Wizards,Air - Clarity,G,O,r,Q
66,Two of Wizards,Mastery,e,l,N,i
67,Three of Wizards,Achievement,y,d,M,C
68,Four of Wizards,Harmony,q,n,u,T
69,Five of Wizards,Struggle,D,N,C,U
70,Six of Wizards,Victory,E,B,J,A
71,Seven of Wizards,Courage,g,m,z,K
72,Eight of Wizards,Swiftness,G,t,k,B
73,Nine of Wizards,Discipline,S,m,Q,r
74,Ten of Wizards,Oppression,u,b,P,s
75,Page of Wizards,Ambition,r,Q,k,E
76,Knight of Wizards,Action,G,f,I,z
77,Queen of Wizards,Authority,c,Z,W,X
78,King of Wizards,Impatience,h,R,a,O
